OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67350,DE PERE SUPER STORE,US-41,De Pere,WI,360,3.25566666,44.4385409,-88.1000097
67365,KWIK TRIP #491,US-151,Manitowoc,WI,582,3.38233333,44.0725972,-87.7414058
67381,ENMARKET #875,US-78 & US-21,Branchville,SC,195,3.26566666,33.2512711,-80.8156518
67382,CORNER PANTRY TRAVEL PLAZA,SR-79 & SR-40,Hermosa,SD,506,3.299,43.839867,-103.191374
67383,FRIENDSHIP FOOD MART #96,SR-101/SR- 2,Sandusky,OH,550,3.529,41.443751,-82.7299844
67393,LOVES TRAVEL STOP #280,"I-10, EXIT 114",Buckeye,AZ,930,3.569,33.2903835,-112.6136238
67394,Circle K #2745133,US-23 & SR-38,Waycross,GA,75,3.399,31.2135511,-82.3540178
67396,Q C MART,US-61 & CR-E63,Welton,IA,270,3.699,41.9080812,-90.5954147
67398,CASEYS #3998,SR-13 & HWY-C,Lowry City                              ,MO,400,3.249,38.1400275,-93.7268774
67400,SPEEDWAY #3547,I-75 & 696,Lima,OH,411,3.499,40.7263155,-84.075297
67404,Meskwaki Travel Plaza,HIGHWAY 30 E,Tama,IA,486,3.234,41.9934848,-92.6172443
67410,STRIPES #40532,US-83 & US-277,Carrizo Springs,TX,740,3.349,28.5249088,-99.8616529
67426,Spearville Truck Stop,"I-56, 126 RD",Spearville                              ,KS,570,3.46566666,37.8834258,-99.7527292
67427,CASEYS #2907,I-57 & I-62,Charleston,MO,275,3.044,36.9233026,-89.3501172
67431,SPARKYS ONE STOP #32,I-30 & CR 33,Carroll,IA,320,3.23233333,42.0193628,-94.860335
67432,PILOT TRAVEL CENTERS #471,US-27 & US-17,Haines City,FL,140,3.559,28.1067315,-81.6287423
67435,7 ELEVEN #40122,I-95 MM2,Newark,DE,160,3.459,39.6465362,-75.759953
67614,KWIK TRIP #622,US-14 & CR-5,Byron,MN,515,3.574,44.0325922,-92.6454395
67615,KWIK TRIP #844,US-63,Lake City,MN,515,3.549,44.4436202,-92.2738288
67634,54 TRUCK STOP,US-54,Mullinville                             ,KS,357,3.46566666,37.5817659,-99.4755361
67642,GO MART FOOD STORE #103,SR-16 & CR 50/39,Ellenboro                               ,WV,44,3.699,39.2672696,-81.0526209
67645,CIRCLE K #2721416,US-441 & SR-20,Gainesville,FL,75,3.899,29.6519684,-82.3249846
67647,BUCHS TRUCK STOP,SR-7,Steubenville                            ,OH,542,3.69233333,40.3519803,-80.6185411
67650,VIRGINIA FAST STOP,SR-78 & SR-125,Virginia,IL,318,3.759,39.9511595,-90.2123427
67652,ON THE GO TRAVEL CENTER,"I-435, EXIT 8",Kansas City,KS,400,3.999,38.93694,-94.6078054
67665,ALL STAR,US-75 N,Sabetha                                 ,KS,553,3.499,39.9103596,-95.7845351
67682,CASEYS #2739,1323 E MAIN ST,Beloit,KS,336,3.359,39.459117,-98.0956515
67690,CEFCO #64,ST RT 14,Mexia,TX,765,3.099,31.6853915,-96.4888431
67698,FRONTIER TRAVEL CENTER,US-12 & US-85,Bowman,ND,807,3.53233333,46.1010498,-103.5086625
67703,SPEEDWAY #6880,CR-611,Clearwater,FL,225,3.37733333,28.030419,-82.7091007
67705,CITGO,US-1,North Brunswick,NJ,115,3.18566666,40.4736824,-74.4289965
67706,SPEEDWAY #3495,US-1/9,Elizabeth,NJ,115,3.599,40.6618321,-74.2069109
67718,SUNSTOP #622,SR-52 & SR-167,Hartford,AL,715,3.599,31.1019671,-85.6977651
67721,J AND D COUNTRYSIDE MARTHON,SR-76 & SR-173,Poplar Grove                            ,IL,520,3.499,42.3683522,-88.822047
67727,SPEEDWAY #7907,US-264 & SR-33,Greenville,NC,205,2.944,35.613224,-77.3724593
67728,SPEEDWAY #7905,SR-43 & SR-118,Vanceboro,NC,205,3.37566666,35.2995434,-77.1522321
67729,SPEEDWAY #6981,US-301 BYP,Rocky Mount,NC,177,3.43233333,35.9656588,-77.8176334
67732,Quik Pik,US-275 & SR-9,West Point,NE,470,3.21566666,41.84027,-96.7120725
67734,TROTTER TRUCK PLAZA,ST 11,Ord,NE,330,3.299,41.6047893,-98.9391239
67735,Fast Fuel,US-81/SR-3,Kingfisher,OK,483,3.19066666,35.8137245,-97.9395114
67736,SPEEDWAY #9855,I-10 EXIT 49,Fabens,TX,640,3.23566666,31.4846904,-106.0822721
67738,SUPER JACK TRUCK STOP,US-84,Brookhaven,MS,620,3.11566666,31.5457042,-90.4316337
67743,STRIPES 7FLEET #42506,US-380 & US-277,Haskell,TX,575,3.539,33.1542164,-99.7199972
